Property Name,Dividend Date,dividend_per_share
Splash,3/31/2023,0.18
Malbec,3/31/2023,0.18
Pinot,3/31/2023,0.18
Salem,3/31/2023,0.17
Tuscan,3/31/2023,0.18
Mojave,3/31/2023,0.18
Wentworth,3/31/2023,0.19
Cupcake,3/31/2023,0.19
Rooney,3/31/2023,0.09
KerriAnn,3/31/2023,0.08
Sigma,3/31/2023,0.11
Saint,3/31/2023,0.12
Scepter,3/31/2023,0.08
Bandelier,3/31/2023,0.08
Diablo,3/31/2023,0.08
Tulip,3/31/2023,0.11
Jack,3/31/2023,0.09
Bedford,3/31/2023,0.13
Louise,3/31/2023,0.14
Gardens,3/31/2023,0.11
Peanut,3/31/2023,0.10
Chelsea,3/31/2023,0.12
Hadden,3/31/2023,0.14
Hollandaise,3/31/2023,0.10
Terracotta,3/31/2023,0.13
Avebury,3/31/2023,0.11
Otoro,3/31/2023,0.10
100,3/31/2023,0.11
Grove,3/31/2023,0.09
Lanier,3/31/2023,0.08
Mammoth,3/31/2023,0.08
McGregor,3/31/2023,0.10
Point,3/31/2023,0.10
Roxy,3/31/2023,0.08
Wisteria,3/31/2023,0.10
Heritage,3/31/2023,0.09
Heron,3/31/2023,0.09
Kirkwood,3/31/2023,0.08
Magnolia,3/31/2023,0.09
Rosewood,3/31/2023,0.08
Stonebriar,3/31/2023,0.09
Apollo,3/31/2023,0.08
Baron,3/31/2023,0.09
Madison,3/31/2023,0.08
Swift,3/31/2023,0.10
Wescott,3/31/2023,0.08
Wildwood,3/31/2023,0.09
Lannister,3/31/2023,0.09
Pearl,3/31/2023,0.09
Nugget,3/31/2023,0.09
Burlington,3/31/2023,0.09
Abbington,3/31/2023,0.09
Hines,3/31/2023,0.09
Ritter,3/31/2023,0.08
101,3/31/2023,0.07
Jake,3/31/2023,0.08
Holcomb,3/31/2023,0.08
Latte,3/31/2023,0.08
Dunbar,3/31/2023,0.07
Lookout,3/31/2023,0.08
Reynolds,3/31/2023,0.08
Kennesaw,3/31/2023,0.08
Pioneer,3/31/2023,0.07
Bazzel,3/31/2023,0.09
June,3/31/2023,0.09
Johnny,3/31/2023,0.09
Osprey,3/31/2023,0.08
Riverwalk,3/31/2023,0.09
Collier,3/31/2023,0.09
Folly,3/31/2023,0.08
Dorchester,3/31/2023,0.08
Dogwood,3/31/2023,0.09
Walton,3/31/2023,0.08
Clover,3/31/2023,0.10
Dolly,3/31/2023,0.08
Kenny,3/31/2023,0.08
Creekside,3/31/2023,0.10
Willow,3/31/2023,0.09
Wilson,3/31/2023,0.09
Daisy,3/31/2023,0.09
Henry,3/31/2023,0.10
Sodalis,3/31/2023,0.08
Loretta,3/31/2023,0.09
Conway,3/31/2023,0.09
Belle,3/31/2023,0.08
Chitwood,3/31/2023,0.09
Spring,3/31/2023,0.09
Highland,3/31/2023,0.09
Reginald,3/31/2023,0.09
Camino,3/31/2023,0.10
Richardson,3/31/2023,0.08
Cumberland,3/31/2023,0.09
Bonneau,3/31/2023,0.08
